I0122 08:29:24.096530       1 flags.go:57] FLAG: --add-dir-header="false"
I0122 08:29:24.096748       1 flags.go:57] FLAG: --alsologtostderr="false"
I0122 08:29:24.096752       1 flags.go:57] FLAG: --enable-healthz="true"
I0122 08:29:24.096756       1 flags.go:57] FLAG: --healthz-address=":11251"
I0122 08:29:24.096761       1 flags.go:57] FLAG: --inherit-owner-annotations="true"
I0122 08:29:24.096763       1 flags.go:57] FLAG: --kube-api-burst="100"
I0122 08:29:24.096767       1 flags.go:57] FLAG: --kube-api-qps="50"
I0122 08:29:24.096771       1 flags.go:57] FLAG: --kubeconfig=""
I0122 08:29:24.096774       1 flags.go:57] FLAG: --leader-elect="false"
I0122 08:29:24.096777       1 flags.go:57] FLAG: --lock-object-namespace="volcano-system"
I0122 08:29:24.096780       1 flags.go:57] FLAG: --log-backtrace-at=":0"
I0122 08:29:24.096795       1 flags.go:57] FLAG: --log-dir=""
I0122 08:29:24.096798       1 flags.go:57] FLAG: --log-file=""
I0122 08:29:24.096801       1 flags.go:57] FLAG: --log-file-max-size="1800"
I0122 08:29:24.096803       1 flags.go:57] FLAG: --log-flush-frequency="5s"
I0122 08:29:24.096807       1 flags.go:57] FLAG: --logtostderr="true"
I0122 08:29:24.096812       1 flags.go:57] FLAG: --master=""
I0122 08:29:24.096814       1 flags.go:57] FLAG: --max-requeue-num="15"
I0122 08:29:24.096817       1 flags.go:57] FLAG: --one-output="false"
I0122 08:29:24.096819       1 flags.go:57] FLAG: --scheduler-name="[volcano,volcano-llm]"
I0122 08:29:24.096836       1 flags.go:57] FLAG: --skip-headers="false"
I0122 08:29:24.096838       1 flags.go:57] FLAG: --skip-log-headers="false"
I0122 08:29:24.096841       1 flags.go:57] FLAG: --stderrthreshold="2"
I0122 08:29:24.096845       1 flags.go:57] FLAG: --tls-cert-file=""
I0122 08:29:24.096848       1 flags.go:57] FLAG: --tls-private-key-file=""
I0122 08:29:24.096851       1 flags.go:57] FLAG: --v="4"
I0122 08:29:24.096853       1 flags.go:57] FLAG: --version="false"
I0122 08:29:24.096856       1 flags.go:57] FLAG: --vmodule=""
I0122 08:29:24.096860       1 flags.go:57] FLAG: --worker-threads="3"
I0122 08:29:24.096864       1 flags.go:57] FLAG: --worker-threads-for-podgroup="1"
W0122 08:29:24.096932       1 client_config.go:618] Neither --kubeconfig nor --master was specified.  Using the inClusterConfig.  This might not work.
I0122 08:29:24.099674       1 garbagecollector.go:97] Starting garbage collector
I0122 08:29:24.100274       1 reflector.go:287] Starting reflector *v1alpha1.Job (0s) from pkg/mod/k8s.io/client-go@v0.27.2/tools/cache/reflector.go:231
I0122 08:29:24.100348       1 reflector.go:323] Listing and watching *v1alpha1.Job from pkg/mod/k8s.io/client-go@v0.27.2/tools/cache/reflector.go:231
I0122 08:29:24.103775       1 reflector.go:287] Starting reflector *v1.Service (0s) from pkg/mod/k8s.io/client-go@v0.27.2/tools/cache/reflector.go:231
I0122 08:29:24.103836       1 reflector.go:323] Listing and watching *v1.Service from pkg/mod/k8s.io/client-go@v0.27.2/tools/cache/reflector.go:231
I0122 08:29:24.104536       1 reflector.go:287] Starting reflector *v1alpha1.Job (0s) from pkg/mod/k8s.io/client-go@v0.27.2/tools/cache/reflector.go:231
I0122 08:29:24.104586       1 reflector.go:323] Listing and watching *v1alpha1.Job from pkg/mod/k8s.io/client-go@v0.27.2/tools/cache/reflector.go:231
I0122 08:29:24.104728       1 reflector.go:287] Starting reflector *v1.ReplicaSet (0s) from pkg/mod/k8s.io/client-go@v0.27.2/tools/cache/reflector.go:231
I0122 08:29:24.104882       1 reflector.go:323] Listing and watching *v1.ReplicaSet from pkg/mod/k8s.io/client-go@v0.27.2/tools/cache/reflector.go:231
I0122 08:29:24.104832       1 reflector.go:287] Starting reflector *v1.PriorityClass (0s) from pkg/mod/k8s.io/client-go@v0.27.2/tools/cache/reflector.go:231
I0122 08:29:24.105045       1 reflector.go:323] Listing and watching *v1.PriorityClass from pkg/mod/k8s.io/client-go@v0.27.2/tools/cache/reflector.go:231
I0122 08:29:24.105002       1 reflector.go:287] Starting reflector *v1beta1.PodGroup (0s) from pkg/mod/k8s.io/client-go@v0.27.2/tools/cache/reflector.go:231
I0122 08:29:24.105378       1 reflector.go:287] Starting reflector *v1.Pod (0s) from pkg/mod/k8s.io/client-go@v0.27.2/tools/cache/reflector.go:231
I0122 08:29:24.106036       1 reflector.go:287] Starting reflector *v1beta1.Queue (0s) from pkg/mod/k8s.io/client-go@v0.27.2/tools/cache/reflector.go:231
I0122 08:29:24.106020       1 reflector.go:287] Starting reflector *v1beta1.PodGroup (0s) from pkg/mod/k8s.io/client-go@v0.27.2/tools/cache/reflector.go:231
I0122 08:29:24.106114       1 reflector.go:323] Listing and watching *v1beta1.Queue from pkg/mod/k8s.io/client-go@v0.27.2/tools/cache/reflector.go:231
I0122 08:29:24.105453       1 reflector.go:323] Listing and watching *v1beta1.PodGroup from pkg/mod/k8s.io/client-go@v0.27.2/tools/cache/reflector.go:231
I0122 08:29:24.106179       1 reflector.go:323] Listing and watching *v1beta1.PodGroup from pkg/mod/k8s.io/client-go@v0.27.2/tools/cache/reflector.go:231
I0122 08:29:24.106065       1 reflector.go:323] Listing and watching *v1.Pod from pkg/mod/k8s.io/client-go@v0.27.2/tools/cache/reflector.go:231
I0122 08:29:24.107600       1 reflector.go:287] Starting reflector *v1alpha1.Command (0s) from pkg/mod/k8s.io/client-go@v0.27.2/tools/cache/reflector.go:231
I0122 08:29:24.107647       1 reflector.go:323] Listing and watching *v1alpha1.Command from pkg/mod/k8s.io/client-go@v0.27.2/tools/cache/reflector.go:231
I0122 08:29:24.108108       1 reflector.go:287] Starting reflector *v1.PersistentVolumeClaim (0s) from pkg/mod/k8s.io/client-go@v0.27.2/tools/cache/reflector.go:231
I0122 08:29:24.108216       1 reflector.go:323] Listing and watching *v1.PersistentVolumeClaim from pkg/mod/k8s.io/client-go@v0.27.2/tools/cache/reflector.go:231
I0122 08:29:24.108909       1 queue_controller.go:179] Starting queue controller.
I0122 08:29:24.109121       1 reflector.go:287] Starting reflector *v1beta1.PodGroup (0s) from pkg/mod/k8s.io/client-go@v0.27.2/tools/cache/reflector.go:231
I0122 08:29:24.109160       1 reflector.go:323] Listing and watching *v1beta1.PodGroup from pkg/mod/k8s.io/client-go@v0.27.2/tools/cache/reflector.go:231
I0122 08:29:24.109159       1 reflector.go:287] Starting reflector *v1alpha1.Command (0s) from pkg/mod/k8s.io/client-go@v0.27.2/tools/cache/reflector.go:231
I0122 08:29:24.109173       1 reflector.go:287] Starting reflector *v1beta1.Queue (0s) from pkg/mod/k8s.io/client-go@v0.27.2/tools/cache/reflector.go:231
I0122 08:29:24.109215       1 reflector.go:323] Listing and watching *v1beta1.Queue from pkg/mod/k8s.io/client-go@v0.27.2/tools/cache/reflector.go:231
I0122 08:29:24.109192       1 reflector.go:323] Listing and watching *v1alpha1.Command from pkg/mod/k8s.io/client-go@v0.27.2/tools/cache/reflector.go:231
I0122 08:29:24.161218       1 garbagecollector.go:115] Adding job e428b092f4f2440fbb5c419623837059/visual-lyayfahe
I0122 08:29:24.161297       1 garbagecollector.go:115] Adding job e428b092f4f2440fbb5c419623837059/train-kpzbtmjp
I0122 08:29:24.161322       1 garbagecollector.go:115] Adding job e428b092f4f2440fbb5c419623837059/notebook-jlroqrxy
I0122 08:29:24.161359       1 garbagecollector.go:115] Adding job e428b092f4f2440fbb5c419623837059/inference-absrbfej
I0122 08:29:24.161399       1 garbagecollector.go:115] Adding job default/lm-mpi-job
I0122 08:29:24.161422       1 garbagecollector.go:115] Adding job e428b092f4f2440fbb5c419623837059/train-azpabbhj
I0122 08:29:24.200586       1 shared_informer.go:341] caches populated
I0122 08:29:24.202993       1 shared_informer.go:341] caches populated
I0122 08:29:24.205332       1 shared_informer.go:341] caches populated
I0122 08:29:24.205367       1 shared_informer.go:341] caches populated
I0122 08:29:24.209658       1 shared_informer.go:341] caches populated
I0122 08:29:24.209692       1 shared_informer.go:341] caches populated
I0122 08:29:24.209702       1 shared_informer.go:341] caches populated
I0122 08:29:24.209802       1 queue_controller.go:246] Begin execute SyncQueue action for queue default, current status Open
I0122 08:29:24.209890       1 queue_controller_action.go:35] Begin to sync queue default.
I0122 08:29:24.210046       1 queue_controller_action.go:73] End sync queue default.
I0122 08:29:24.210070       1 queue_controller.go:228] Finished syncing queue default (274.429µs).
I0122 08:29:24.210110       1 queue_controller.go:246] Begin execute SyncQueue action for queue default-llm, current status Open
I0122 08:29:24.210134       1 queue_controller_action.go:35] Begin to sync queue default-llm.
I0122 08:29:24.210161       1 queue_controller_action.go:73] End sync queue default-llm.
I0122 08:29:24.210173       1 queue_controller.go:228] Finished syncing queue default-llm (67.914µs).
I0122 08:29:24.210190       1 queue_controller.go:246] Begin execute SyncQueue action for queue 3d68f9a29c284c40a7c4260171cd6e75, current status Open
I0122 08:29:24.210212       1 queue_controller_action.go:35] Begin to sync queue 3d68f9a29c284c40a7c4260171cd6e75.
I0122 08:29:24.210237       1 queue_controller_action.go:73] End sync queue 3d68f9a29c284c40a7c4260171cd6e75.
I0122 08:29:24.210255       1 queue_controller.go:228] Finished syncing queue 3d68f9a29c284c40a7c4260171cd6e75 (67.994µs).
I0122 08:29:24.210270       1 queue_controller.go:246] Begin execute SyncQueue action for queue shared-workload, current status Open
I0122 08:29:24.210280       1 queue_controller_action.go:35] Begin to sync queue shared-workload.
I0122 08:29:24.210302       1 queue_controller_action.go:73] End sync queue shared-workload.
I0122 08:29:24.210320       1 queue_controller.go:228] Finished syncing queue shared-workload (52.618µs).
I0122 08:29:24.306552       1 shared_informer.go:341] caches populated
I0122 08:29:24.403789       1 shared_informer.go:341] caches populated
I0122 08:29:24.403844       1 shared_informer.go:341] caches populated
I0122 08:29:24.403857       1 shared_informer.go:341] caches populated
I0122 08:29:24.403881       1 shared_informer.go:341] caches populated
I0122 08:29:24.403893       1 shared_informer.go:341] caches populated
I0122 08:29:24.403903       1 shared_informer.go:341] caches populated
I0122 08:29:24.403914       1 shared_informer.go:341] caches populated
I0122 08:29:24.403978       1 job_controller.go:274] JobController is running ...... 
I0122 08:29:24.404035       1 job_controller.go:278] worker 2 start ...... 
I0122 08:29:24.404047       1 job_controller.go:278] worker 1 start ...... 
I0122 08:29:24.404150       1 job_controller.go:278] worker 0 start ...... 
I0122 08:29:24.404226       1 job_controller.go:329] Try to handle request <Queue: , Job: e428b092f4f2440fbb5c419623837059/inference-absrbfej, Task:, Event:OutOfSync, ExitCode:0, Action:, JobVersion: 0>
I0122 08:29:24.404394       1 job_controller.go:346] Execute <SyncJob> on Job <e428b092f4f2440fbb5c419623837059/inference-absrbfej> in <Aborted> by <*state.abortedState>.
I0122 08:29:24.404073       1 job_controller.go:329] Try to handle request <Queue: , Job: e428b092f4f2440fbb5c419623837059/visual-lyayfahe, Task:, Event:OutOfSync, ExitCode:0, Action:, JobVersion: 0>
I0122 08:29:24.404524       1 job_controller_actions.go:48] Killing Job <e428b092f4f2440fbb5c419623837059/inference-absrbfej>, current version 8
I0122 08:29:24.404566       1 job_controller.go:346] Execute <SyncJob> on Job <e428b092f4f2440fbb5c419623837059/visual-lyayfahe> in <Completed> by <*state.finishedState>.
I0122 08:29:24.404599       1 job_controller_actions.go:48] Killing Job <e428b092f4f2440fbb5c419623837059/visual-lyayfahe>, current version 1
I0122 08:29:24.404095       1 job_controller.go:329] Try to handle request <Queue: , Job: e428b092f4f2440fbb5c419623837059/train-kpzbtmjp, Task:, Event:OutOfSync, ExitCode:0, Action:, JobVersion: 0>
I0122 08:29:24.404696       1 job_controller.go:346] Execute <SyncJob> on Job <e428b092f4f2440fbb5c419623837059/train-kpzbtmjp> in <Aborted> by <*state.abortedState>.
I0122 08:29:24.404727       1 job_controller_actions.go:48] Killing Job <e428b092f4f2440fbb5c419623837059/train-kpzbtmjp>, current version 3
I0122 08:29:24.404829       1 job_controller_actions.go:122] Running duration is 816h10m47.404815645s
I0122 08:29:24.404848       1 job_controller_actions.go:122] Running duration is 1206h6m14.404834311s
I0122 08:29:24.404854       1 job_controller_actions.go:122] Running duration is 1061h18m29.404838909s
I0122 08:29:24.404871       1 job_controller_plugins.go:82] Starting to execute plugin at <pluginOnJobDelete>: env on job: <e428b092f4f2440fbb5c419623837059/train-kpzbtmjp>
I0122 08:29:24.404876       1 job_controller_plugins.go:82] Starting to execute plugin at <pluginOnJobDelete>: env on job: <e428b092f4f2440fbb5c419623837059/inference-absrbfej>
I0122 08:29:24.404911       1 job_controller_plugins.go:82] Starting to execute plugin at <pluginOnJobDelete>: mount on job: <e428b092f4f2440fbb5c419623837059/train-kpzbtmjp>
I0122 08:29:24.405035       1 mount.go:74] mount plugin OnJobDelete
I0122 08:29:24.405058       1 job_controller_plugins.go:82] Starting to execute plugin at <pluginOnJobDelete>: ssh on job: <e428b092f4f2440fbb5c419623837059/train-kpzbtmjp>
I0122 08:29:24.404916       1 job_controller_plugins.go:82] Starting to execute plugin at <pluginOnJobDelete>: ingress on job: <e428b092f4f2440fbb5c419623837059/inference-absrbfej>
I0122 08:29:24.405119       1 job_controller_plugins.go:82] Starting to execute plugin at <pluginOnJobDelete>: svc on job: <e428b092f4f2440fbb5c419623837059/train-kpzbtmjp>
I0122 08:29:24.405210       1 ingress.go:107] ingress plugin OnJobDelete
I0122 08:29:24.405243       1 job_controller_plugins.go:82] Starting to execute plugin at <pluginOnJobDelete>: ssh on job: <e428b092f4f2440fbb5c419623837059/inference-absrbfej>
I0122 08:29:24.404873       1 job_controller_plugins.go:82] Starting to execute plugin at <pluginOnJobDelete>: ingress on job: <e428b092f4f2440fbb5c419623837059/visual-lyayfahe>
I0122 08:29:24.405268       1 job_controller_plugins.go:82] Starting to execute plugin at <pluginOnJobDelete>: svc on job: <e428b092f4f2440fbb5c419623837059/inference-absrbfej>
I0122 08:29:24.405317       1 ingress.go:107] ingress plugin OnJobDelete
I0122 08:29:24.407571       1 shared_informer.go:341] caches populated
I0122 08:29:24.407616       1 shared_informer.go:341] caches populated
I0122 08:29:24.407636       1 shared_informer.go:341] caches populated
